                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.2925,                0.96924,                 1.6192,                0.81709,                0.89081,                0.89386,                0.55205,                 1.2135,                 1.1405,                 1.6123,              0.0010135,              0.0010135,              0.0010135
                    101,                 1.2222,                 1.0135,                 1.5648,                0.90403,                    0.9,                0.94056,                0.58569,                 1.1986,                 1.1259,                 1.6272,              0.0010069,              0.0010069,              0.0010069
                    102,                 1.2533,                 1.0111,                 1.5492,                0.91651,                    0.9,                0.90647,                 0.6212,                 1.2641,                 1.0951,                 1.6919,              0.0010003,              0.0010003,              0.0010003
                    103,                 1.3209,                0.96676,                 1.6007,                0.95591,                    0.9,                0.91345,                0.57553,                 1.1969,                  1.129,                 1.6729,             0.00099367,             0.00099367,             0.00099367
                    104,                 1.2492,                 1.0245,                 1.6081,                0.88958,                    0.9,                0.91075,                0.60066,                 1.3028,                 1.0474,                 1.6797,             0.00098706,             0.00098706,             0.00098706
                    105,                 1.2411,                0.99558,                 1.5484,                0.88684,                   0.95,                0.93772,                0.59391,                 1.2486,                0.96365,                 1.6099,             0.00098046,             0.00098046,             0.00098046
                    106,                 1.1969,                 1.0262,                 1.6174,                0.97584,                    0.9,                0.91506,                0.68454,                 1.1567,                0.91177,                 1.6113,             0.00097386,             0.00097386,             0.00097386
                    107,                 1.2572,                 1.0657,                 1.5979,                0.96799,                    0.9,                0.93448,                0.65412,                  1.192,                0.91239,                 1.6205,             0.00096726,             0.00096726,             0.00096726
                    108,                 1.1603,                0.97536,                  1.542,                0.92889,                   0.95,                0.94649,                0.60878,                 1.2347,                0.96058,                 1.6419,             0.00096066,             0.00096066,             0.00096066
                    109,                 1.3311,                 1.1099,                 1.6496,                  0.898,                0.92878,                0.94599,                0.61227,                 1.2433,                0.98214,                 1.6479,             0.00095406,             0.00095406,             0.00095406
                    110,                 1.2684,                 1.0429,                 1.6149,                0.88334,                0.88024,                0.89118,                0.53686,                 1.3301,                 1.0829,                 1.7616,             0.00094746,             0.00094746,             0.00094746
                    111,                 1.1978,                0.94175,                 1.5353,                0.80721,                    0.9,                0.89961,                0.52233,                 1.2684,                 1.0621,                 1.7066,             0.00094085,             0.00094085,             0.00094085
                    112,                 1.1972,                 0.9501,                 1.5012,                0.96992,                0.93718,                0.94646,                0.52201,                 1.1899,                 1.0067,                 1.6327,             0.00093425,             0.00093425,             0.00093425
                    113,                   1.21,                0.93334,                 1.5275,                      1,                0.89902,                0.94661,                0.60938,                 1.0923,                 0.8816,                 1.5434,             0.00092765,             0.00092765,             0.00092765
                    114,                 1.1184,                0.90333,                 1.5123,                0.96566,                    0.9,                0.94145,                0.64372,                 1.0813,                0.89452,                 1.5046,             0.00092105,             0.00092105,             0.00092105
                    115,                 1.1044,                0.92283,                 1.4654,                0.97319,                    0.9,                0.93757,                0.62643,                 1.1087,                0.94447,                 1.5151,             0.00091445,             0.00091445,             0.00091445
                    116,                  1.172,                0.91877,                 1.4832,                0.92219,                0.93192,                0.94712,                0.59502,                 1.1853,                0.92505,                 1.6134,             0.00090785,             0.00090785,             0.00090785
                    117,                 1.0591,                0.85481,                 1.4347,                0.97956,                0.83577,                 0.9425,                0.60535,                 1.2399,                0.88683,                 1.6566,             0.00090125,             0.00090125,             0.00090125
                    118,                  1.074,                0.85941,                 1.4231,                0.91667,                 0.9357,                0.94721,                0.70948,                 1.0595,                0.79636,                 1.5264,             0.00089465,             0.00089465,             0.00089465
                    119,                 1.1184,                0.90571,                 1.5027,                0.98662,                0.90215,                0.94723,                0.71788,                 1.0423,                0.78664,                 1.5118,             0.00088804,             0.00088804,             0.00088804
                    120,                 1.0032,                0.81048,                 1.3784,                0.97605,                    0.9,                0.93806,                0.62626,                 1.1461,                0.84954,                 1.5934,             0.00088144,             0.00088144,             0.00088144
                    121,                 1.1431,                0.89818,                 1.4996,                0.96354,                    0.9,                0.93789,                0.64146,                 1.1159,                0.84706,                  1.587,             0.00087484,             0.00087484,             0.00087484
                    122,                 1.0715,                0.81916,                 1.4942,                0.92194,                0.93065,                0.94182,                0.62655,                 1.0751,                0.86462,                 1.5409,             0.00086824,             0.00086824,             0.00086824
                    123,                 1.1027,                0.88055,                 1.4166,                 0.9106,                   0.95,                0.94178,                0.65989,                 1.0851,                0.81045,                  1.536,             0.00086164,             0.00086164,             0.00086164
                    124,                  1.087,                0.86141,                 1.4713,                0.98464,                0.89415,                0.93723,                0.71346,                  1.006,                0.74786,                 1.4846,             0.00085504,             0.00085504,             0.00085504
                    125,                 1.1558,                0.90011,                  1.445,                0.94897,                0.92973,                0.94604,                0.69335,                 1.0128,                0.80898,                 1.4665,             0.00084844,             0.00084844,             0.00084844
                    126,                 1.0911,                0.89945,                 1.4462,                0.96486,                   0.95,                0.94587,                0.63212,                 1.0398,                 0.8413,                 1.4437,             0.00084184,             0.00084184,             0.00084184
                    127,                 1.1093,                 0.9191,                  1.502,                0.97735,                   0.95,                0.94601,                0.65052,                 1.0134,                 0.8104,                 1.4521,             0.00083523,             0.00083523,             0.00083523
                    128,                 1.1427,                0.86056,                 1.4529,                 0.9673,                0.92251,                0.94693,                0.70054,                 1.0641,                0.75385,                 1.4814,             0.00082863,             0.00082863,             0.00082863
                    129,                 1.1298,                0.87027,                 1.5081,                0.97658,                0.90395,                0.94708,                0.69541,                 1.0021,                0.75451,                 1.4393,             0.00082203,             0.00082203,             0.00082203
                    130,                 1.0968,                0.82534,                 1.4771,                0.99011,                0.91734,                0.94685,                0.70525,                 1.0108,                0.75813,                 1.4003,             0.00081543,             0.00081543,             0.00081543
                    131,                 1.1007,                0.90716,                 1.4463,                0.98929,                0.92172,                0.94628,                0.68304,                 1.0815,                0.77813,                 1.4697,             0.00080883,             0.00080883,             0.00080883
                    132,                 1.1174,                0.88587,                 1.4807,                0.97298,                0.91162,                0.94842,                0.69945,                 1.0079,                0.80387,                 1.4706,             0.00080223,             0.00080223,             0.00080223
                    133,                 1.0554,                 0.7976,                 1.4342,                0.97268,                0.90481,                0.94855,                0.75367,                0.97152,                0.80385,                 1.4288,             0.00079563,             0.00079563,             0.00079563
                    134,                 1.0059,                0.81158,                 1.3785,                0.96935,                0.90482,                0.94826,                0.74681,                0.91223,                0.76081,                 1.3443,             0.00078902,             0.00078902,             0.00078902
                    135,                 1.0123,                0.82503,                 1.3825,                0.96361,                0.90556,                0.94864,                0.73088,                 0.9561,                0.74817,                 1.3748,             0.00078242,             0.00078242,             0.00078242
                    136,                 1.0489,                0.86506,                 1.4155,                0.92631,                0.93909,                0.94798,                0.71897,                0.90304,                0.73116,                  1.338,             0.00077582,             0.00077582,             0.00077582
                    137,                 1.0699,                0.80614,                 1.4395,                0.96545,                   0.95,                0.94729,                0.71071,                0.93291,                0.79263,                 1.3364,             0.00076922,             0.00076922,             0.00076922
                    138,                 1.0371,                0.85552,                 1.4253,                 0.9905,                0.94851,                0.94692,                0.66668,                 0.9896,                0.84023,                  1.402,             0.00076262,             0.00076262,             0.00076262
                    139,                 1.0915,                 0.8399,                 1.4341,                0.96974,                0.93978,                  0.947,                0.69415,                 1.0094,                0.85168,                 1.4463,             0.00075602,             0.00075602,             0.00075602
                    140,                  1.031,                0.78231,                 1.3754,                0.99148,                0.92163,                0.94713,                  0.761,                0.96426,                0.79152,                 1.3685,             0.00074942,             0.00074942,             0.00074942
                    141,                0.94409,                0.74856,                 1.3463,                0.93227,                0.91938,                0.94731,                0.74785,                0.90719,                0.72308,                  1.354,             0.00074282,             0.00074282,             0.00074282
                    142,                0.92958,                0.73923,                 1.2926,                0.98833,                0.91787,                0.94679,                 0.7465,                0.91264,                0.69427,                 1.3883,             0.00073621,             0.00073621,             0.00073621
                    143,                 1.0402,                0.82312,                 1.4542,                0.99058,                0.90993,                0.94654,                0.75093,                0.97708,                0.75382,                  1.407,             0.00072961,             0.00072961,             0.00072961
                    144,                 0.9855,                0.81184,                 1.3396,                0.94551,                    0.9,                0.93422,                0.76801,                0.91179,                0.86474,                 1.3595,             0.00072301,             0.00072301,             0.00072301
                    145,                 1.0305,                0.81976,                 1.4005,                0.91261,                0.90863,                0.94695,                0.77479,                0.88703,                0.88165,                 1.3424,             0.00071641,             0.00071641,             0.00071641
                    146,                  1.009,                 0.7963,                  1.366,                0.94175,                    0.9,                0.94238,                0.75419,                0.90506,                0.72677,                 1.3225,             0.00070981,             0.00070981,             0.00070981
                    147,                0.99112,                0.73163,                 1.3316,                0.95369,                    0.9,                0.94247,                0.77303,                0.86852,                  0.674,                 1.3146,             0.00070321,             0.00070321,             0.00070321
                    148,                0.99992,                0.77245,                 1.3753,                0.98354,                    0.9,                0.94272,                 0.7172,                0.93562,                0.68914,                 1.3613,             0.00069661,             0.00069661,             0.00069661
                    149,                 1.1292,                0.85886,                 1.4412,                0.98131,                    0.9,                0.94298,                0.73858,                0.90842,                0.67522,                 1.3415,                0.00069,                0.00069,                0.00069
